¦Titol¦Autor¦Autor_id¦Editorial¦Preu_soci¦Preu_Public¦Tipus_Producte¦EAN¦Ref_Abacus¦Encuadernacio¦Coleccio¦Materia¦Ruta¦Data
71¦El Juego Del Ángel¦Ruiz Zafón, Carlos¦A000513023¦Booket¦10,40€¦10,95€¦Libro¦9788408163442¦1171268.80¦Rústico¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
72¦El prisionero del cielo¦Ruiz Zafón, Carlos¦A000513023¦Booket¦10,40€¦10,95€¦Libro¦9788408163459¦1171269.34¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
73¦L'amic retrobat¦¦¦¦7,55€¦7,95€¦Material complementario de texto¦9788496863101¦762037.89¦¦Labutxaca¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
74¦El camino del arquero¦Coelho, Paulo¦A000044643¦Planeta¦16,05€¦16,90€¦Libro¦9788408226888¦1330057.56¦¦Biblioteca Paulo Coelho¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
75¦Tirant lo Blanc: episodis amorosos¦¦¦¦12,30€¦12,95€¦Material complementario de texto¦9788424641351¦100013946.94¦¦La Clau Mestra¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
76¦Tirant lo Blanc. Episodis amorosos¦¦¦¦11,35€¦11,95€¦Material complementario de texto¦9788415192855¦1051786.29¦¦Educació 62¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
77¦La vida mentidera dels adults¦Ferrante, Elena¦A000544413¦La Campana¦18,90€¦19,90€¦Libro¦9788416863693¦1337121.53¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
78¦Poesía española¦¦¦¦13,68€¦14,40€¦Material complementario de texto¦9788431697587¦861907.55¦¦¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
79¦El guardián invisible¦Redondo, Dolores¦A000652090¦Booket¦9,45€¦9,95€¦Libro¦9788423350995¦1146709.58¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
80¦El poder del ahora¦Tolle, Eckhart¦A000523841¦Gaia¦9,50€¦10,00€¦Libro¦9788484452065¦772645.72¦¦Perenne ¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología¦2020-11-06
81¦Antologia de la poesia universal¦¦¦¦10,40€¦10,95€¦Material complementario de texto¦9788492672837¦0889700.06¦¦Educació 62¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
82¦Luciérnagas¦¦¦¦8,50€¦8,95€¦Material complementario de texto¦9788423344048¦0926224.85¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
83¦Lazarillo de Tormes¦¦¦¦8,50€¦8,95€¦Material complementario de texto¦9788467052282¦1240170.24¦¦Educación¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
84¦Les cartes d'Hèrcules Poirot¦¦¦¦10,40€¦10,95€¦Material complementario de texto¦9788492672424¦768142.90¦¦Educació 62¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
85¦La voz de tu alma¦García Calvo, Laín¦4000672371¦Autor-editor¦19,95€¦21,00€¦Libro¦9788461716098¦1196712.54¦¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología¦2020-11-06
86¦El curiós incident del gos a mitjanit¦¦¦¦11,40€¦12,00€¦Material complementario de texto¦9788482649672¦0903039.20¦¦Ales esteses¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
87¦La red púrpura¦Mola, Carmen¦4000678080¦Alfaguara¦18,90€¦19,90€¦Libro¦9788420435572¦1284268.64¦¦Negra¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
88¦Antologia de poesia catalana. Nova tria¦¦¦¦12,30€¦12,95€¦Material complementario de texto¦9788415954569¦1241525.20¦¦Educació 62¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
89¦Wonder¦¦¦¦14,15€¦14,90€¦Material complementario de texto¦9788496735712¦100020566.82¦¦Tocs¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
90¦Aprendre a parlar amb les plantes¦Orriols Balaguer, Marta¦4000667543¦Periscopi¦16,62€¦17,50€¦Libro¦9788417339111¦1260745.74¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
91¦El Infinito En Un Junco. La Invención De Los Libros Del Mundo Antiguo¦Vallejo, Irene¦4000660755¦Siruela¦23,70€¦24,95€¦Libro¦9788417860790¦1311331.09¦Rústico¦Biblioteca de ensayo¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Ciencias sociales y humanas¦2020-11-06
92¦La companyia nòrdica¦Villaró, Albert¦A000512970¦Columna Edicions¦19,00€¦20,00€¦Libro¦9788466426794¦1339837.22¦Cartoné¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
93¦Visions & Cants¦¦¦¦8,50€¦8,95€¦Material complementario de texto¦9788492672516¦758943.54¦¦Educació 62¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
94¦La Nena¦Mola, Carmen¦4000678080¦Alfaguara¦18,90€¦19,90€¦Libro¦9788420435985¦1330061.63¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
95¦El mètode Grönholm¦¦¦¦8,50€¦8,95€¦Material complementario de texto¦ 9788496863736¦799307.81¦¦Labutxaca¦¦Inicio \ Libros \ Libros de Teatro, Poesía y Relatos¦2020-11-06
96¦Tirant lo Blanc. Episodis amorosos¦¦¦¦10,35€¦10,90€¦Material complementario de texto¦9788498044171¦1048571.42¦¦Clàssics Castellnou¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
97¦Nada¦Laforet, Carmen¦A000100950¦Cátedra¦11,35€¦11,95€¦Libro¦9788437641683¦1334813.65¦¦Letras hispánicas¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
98¦Come comida real¦Ríos, Carlos¦4000685766¦Paidós¦16,15€¦17,00€¦Libro¦9788449335617¦1280127.49¦¦Autoayuda¦¦Inicio \ Libros \ Libros de Estilo de vida y Salud \ Bienestar y salud¦2020-11-06
99¦Destroza Este Diario¦Smith, Keri¦A000651078¦Paidós¦9,45€¦9,95€¦Libro¦9788449327858¦1042922.46¦Rústico¦¦¦Inicio \ Libros \ Libros de Ciencia y Conocimiento \ Pedagogía y psicología¦2020-11-06
100¦El espejo de nuestras penas¦Lemaitre, Pierre¦4000652863¦Salamandra¦19,95€¦21,00€¦Libro¦9788418107337¦1337115.65¦¦¦¦Inicio \ Libros \ Libros de Narrativa y Novelas¦2020-11-06
